mun,zip,prov,year,geom_id,bin_pop,percentile_bin,r_bin
ACQUAPENDENTE,NA,VT,2011,4aRO,0.33622313233336953,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACQUAPENDENTE,NA,VT,2011,4aRO,0.07073518252895483,"[0.9,1)","[4.53e+04,Inf)"
ACQUAPPESA,NA,CS,2011,IxW6,0.712677372767147,"[0,0.5)","[0,1.6e+04)"
ACQUAPPESA,NA,CS,2011,IxW6,0.24655808014939873,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACQUAPPESA,NA,CS,2011,IxW6,0.04076454708345423,"[0.9,1)","[4.53e+04,Inf)"
ACQUARICA DEL CAPO,NA,LE,2011,NA,0.8008009173816775,"[0,0.5)","[0,1.6e+04)"
ACQUARICA DEL CAPO,NA,LE,2011,NA,0.17198037657654952,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACQUARICA DEL CAPO,NA,LE,2011,NA,0.02721870604177301,"[0.9,1)","[4.53e+04,Inf)"
ACQUARO,NA,VV,2011,3T3N,0.8081548238581862,"[0,0.5)","[0,1.6e+04)"
ACQUARO,NA,VV,2011,3T3N,0.1665557390310639,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACQUARO,NA,VV,2011,3T3N,0.025289437110749935,"[0.9,1)","[4.53e+04,Inf)"
ACQUASANTA TERME,NA,AP,2011,KAJq,0.639435529324718,"[0,0.5)","[0,1.6e+04)"
ACQUASANTA TERME,NA,AP,2011,KAJq,0.32338707127594635,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACQUASANTA TERME,NA,AP,2011,KAJq,0.03717739939933562,"[0.9,1)","[4.53e+04,Inf)"
ACQUASPARTA,NA,TR,2011,86H2,0.5248847956089426,"[0,0.5)","[0,1.6e+04)"
ACQUASPARTA,NA,TR,2011,86H2,0.4064263974986734,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACQUASPARTA,NA,TR,2011,86H2,0.06868880689238399,"[0.9,1)","[4.53e+04,Inf)"
ACQUAVIVA COLLECROCE,NA,CB,2011,tCwS,0.7871224216296636,"[0,0.5)","[0,1.6e+04)"
ACQUAVIVA COLLECROCE,NA,CB,2011,tCwS,0.19513290582082166,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACQUAVIVA COLLECROCE,NA,CB,2011,tCwS,0.01774467254951473,"[0.9,1)","[4.53e+04,Inf)"
ACQUAVIVA DELLE FONTI,NA,BA,2011,iNKw,0.5525375328296697,"[0,0.5)","[0,1.6e+04)"
ACQUAVIVA DELLE FONTI,NA,BA,2011,iNKw,0.3680082547237641,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACQUAVIVA DELLE FONTI,NA,BA,2011,iNKw,0.07945421244656625,"[0.9,1)","[4.53e+04,Inf)"
ACQUAVIVA DISERNIA,NA,IS,2011,xiCP,0.6641194273419398,"[0,0.5)","[0,1.6e+04)"
ACQUAVIVA DISERNIA,NA,IS,2011,xiCP,0.30418199349587915,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACQUAVIVA DISERNIA,NA,IS,2011,xiCP,0.031698579162180995,"[0.9,1)","[4.53e+04,Inf)"
ACQUAVIVA PICENA,NA,AP,2011,p54C,0.6051989380288308,"[0,0.5)","[0,1.6e+04)"
ACQUAVIVA PICENA,NA,AP,2011,p54C,0.3302716292194313,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACQUAVIVA PICENA,NA,AP,2011,p54C,0.06452943275173784,"[0.9,1)","[4.53e+04,Inf)"
ACQUAVIVA PLATANI,NA,CL,2011,GpMU,0.8052337570501815,"[0,0.5)","[0,1.6e+04)"
ACQUAVIVA PLATANI,NA,CL,2011,GpMU,0.16564303577595385,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACQUAVIVA PLATANI,NA,CL,2011,GpMU,0.02912320717386463,"[0.9,1)","[4.53e+04,Inf)"
ACQUEDOLCI,NA,ME,2011,Q8lb,0.6845416858897134,"[0,0.5)","[0,1.6e+04)"
ACQUEDOLCI,NA,ME,2011,Q8lb,0.2606948735458836,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACQUEDOLCI,NA,ME,2011,Q8lb,0.054763440564402965,"[0.9,1)","[4.53e+04,Inf)"
ACQUI TERME,NA,AL,2011,snY8,0.4765453702220244,"[0,0.5)","[0,1.6e+04)"
ACQUI TERME,NA,AL,2011,snY8,0.42500805982404183,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACQUI TERME,NA,AL,2011,snY8,0.09844656995393375,"[0.9,1)","[4.53e+04,Inf)"
ACRI,NA,CS,2011,KA2x,0.7017388158708481,"[0,0.5)","[0,1.6e+04)"
ACRI,NA,CS,2011,KA2x,0.2541831081751714,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACRI,NA,CS,2011,KA2x,0.0440780759539805,"[0.9,1)","[4.53e+04,Inf)"
ACUTO,NA,FR,2011,Hbqy,0.5898438661752542,"[0,0.5)","[0,1.6e+04)"
ACUTO,NA,FR,2011,Hbqy,0.3625748402182689,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACUTO,NA,FR,2011,Hbqy,0.04758129360647689,"[0.9,1)","[4.53e+04,Inf)"
ADELFIA,NA,BA,2011,6Vy1,0.6057252573566202,"[0,0.5)","[0,1.6e+04)"
ADELFIA,NA,BA,2011,6Vy1,0.3276995437528992,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ADELFIA,NA,BA,2011,6Vy1,0.06657519889048058,"[0.9,1)","[4.53e+04,Inf)"
ADRANO,NA,CT,2011,kQSn,0.791295366610572,"[0,0.5)","[0,1.6e+04)"
ADRANO,NA,CT,2011,kQSn,0.17899935238727316,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ADRANO,NA,CT,2011,kQSn,0.02970528100215486,"[0.9,1)","[4.53e+04,Inf)"
ADRARA SAN MARTINO,NA,BG,2011,k4hK,0.4647598177227336,"[0,0.5)","[0,1.6e+04)"
ADRARA SAN MARTINO,NA,BG,2011,k4hK,0.4547783529503931,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ADRARA SAN MARTINO,NA,BG,2011,k4hK,0.08046182932687329,"[0.9,1)","[4.53e+04,Inf)"
ADRARA SAN ROCCO,NA,BG,2011,3z6W,0.47942767311940854,"[0,0.5)","[0,1.6e+04)"
ADRARA SAN ROCCO,NA,BG,2011,3z6W,0.4518240652956251,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ADRARA SAN ROCCO,NA,BG,2011,3z6W,0.06874826158496639,"[0.9,1)","[4.53e+04,Inf)"
ADRIA,NA,RO,2011,nRMq,0.5110046037997259,"[0,0.5)","[0,1.6e+04)"
ADRIA,NA,RO,2011,nRMq,0.4101705607332121,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ADRIA,NA,RO,2011,nRMq,0.07882483546706198,"[0.9,1)","[4.53e+04,Inf)"
ADRO,NA,BS,2011,ogYl,0.4722881683972096,"[0,0.5)","[0,1.6e+04)"
ADRO,NA,BS,2011,ogYl,0.44564711580358424,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ADRO,NA,BS,2011,ogYl,0.08206471579920616,"[0.9,1)","[4.53e+04,Inf)"
AFFI,NA,VR,2011,Hs3V,0.48906514635168774,"[0,0.5)","[0,1.6e+04)"
AFFI,NA,VR,2011,Hs3V,0.4180235282575123,"[0.5,0.9)","[1.6e+04,4.53e+04)"
AFFI,NA,VR,2011,Hs3V,0.09291132539079994,"[0.9,1)","[4.53e+04,Inf)"
AFFILE,NA,RM,2011,Ixla,0.5515902411274228,"[0,0.5)","[0,1.6e+04)"
AFFILE,NA,RM,2011,Ixla,0.38636774805100915,"[0.5,0.9)","[1.6e+04,4.53e+04)"
AFFILE,NA,RM,2011,Ixla,0.06204201082156802,"[0.9,1)","[4.53e+04,Inf)"
AFRAGOLA,NA,NA,2011,NA,0.6318329127415087,"[0,0.5)","[0,1.6e+04)"
AFRAGOLA,NA,NA,2011,NA,0.31522934097219024,"[0.5,0.9)","[1.6e+04,4.53e+04)"
AFRAGOLA,NA,NA,2011,NA,0.0529377462863011,"[0.9,1)","[4.53e+04,Inf)"
AFRICO,NA,RC,2011,EjlD,0.694688149769356,"[0,0.5)","[0,1.6e+04)"
AFRICO,NA,RC,2011,EjlD,0.2884114917274494,"[0.5,0.9)","[1.6e+04,4.53e+04)"
AFRICO,NA,RC,2011,EjlD,0.0169003585031946,"[0.9,1)","[4.53e+04,Inf)"
AGAZZANO,NA,PC,2011,v3ym,0.5098438196416922,"[0,0.5)","[0,1.6e+04)"
AGAZZANO,NA,PC,2011,v3ym,0.3947584650010769,"[0.5,0.9)","[1.6e+04,4.53e+04)"
AGAZZANO,NA,PC,2011,v3ym,0.09539771535723085,"[0.9,1)","[4.53e+04,Inf)"
AGEROLA,NA,NA,2011,NA,0.6968438563361955,"[0,0.5)","[0,1.6e+04)"
AGEROLA,NA,NA,2011,NA,0.2615172633266951,"[0.5,0.9)","[1.6e+04,4.53e+04)"
AGEROLA,NA,NA,2011,NA,0.041638880337109385,"[0.9,1)","[4.53e+04,Inf)"
AGGIUS,NA,OT,2011,NA,0.6335305514957499,"[0,0.5)","[0,1.6e+04)"
AGGIUS,NA,OT,2011,NA,0.3029757127890209,"[0.5,0.9)","[1.6e+04,4.53e+04)"
AGGIUS,NA,OT,2011,NA,0.0634937357152292,"[0.9,1)","[4.53e+04,Inf)"
AGIRA,NA,EN,2011,kstK,0.7218677231812001,"[0,0.5)","[0,1.6e+04)"
AGIRA,NA,EN,2011,kstK,0.2388993303029434,"[0.5,0.9)","[1.6e+04,4.53e+04)"
AGIRA,NA,EN,2011,kstK,0.039232946515856515,"[0.9,1)","[4.53e+04,Inf)"
AGLIANA,NA,PT,2011,uEGk,0.5089211137052302,"[0,0.5)","[0,1.6e+04)"
AGLIANA,NA,PT,2011,uEGk,0.4251072400140816,"[0.5,0.9)","[1.6e+04,4.53e+04)"
AGLIANA,NA,PT,2011,uEGk,0.06597164628068819,"[0.9,1)","[4.53e+04,Inf)"
AGLIANO TERME,NA,AT,2011,98MF,0.5995196558132592,"[0,0.5)","[0,1.6e+04)"
