i,j,geom_id,year,cell_percent_of_total_agents,percent_of_agent_type,agent_type,likelyhood
6,1,cEGw,2021,0.019526731857307127,0.4933430240700952,C,0.009633376944689765
6,1,cEGw,2021,0.019526731857307127,0.40499586063267035,B,0.00790824557389348
6,1,cEGw,2021,0.019526731857307127,0.10166111529723443,A,0.00198510933872388
4,0,UK68,2021,0.021344195243627243,0.39093360567705526,C,0.008344163206866251
4,0,UK68,2021,0.021344195243627243,0.40295349120643786,B,0.008600717990411443
4,0,UK68,2021,0.021344195243627243,0.20611290311650687,A,0.004399314046349549
0,0,n0av,2021,0.01117469224540494,0.33751266395716994,C,0.00377160014864815
0,0,n0av,2021,0.01117469224540494,0.35806385979222577,B,0.004001253437379947
0,0,n0av,2021,0.01117469224540494,0.3044234762506043,A,0.0034018386593768425
0,1,PufH,2021,0.03735614921137488,0.4564405371209113,C,0.01705086081080886
0,1,PufH,2021,0.03735614921137488,0.4267614135209446,B,0.015942163041145666
0,1,PufH,2021,0.03735614921137488,0.11679804935814408,A,0.004363125359420359
2,2,pQHn,2021,0.024972353065108,0.5193969105120042,C,0.012970563030232075
2,2,pQHn,2021,0.024972353065108,0.41438324280283345,B,0.010348124643536731
2,2,pQHn,2021,0.024972353065108,0.06621984668516234,A,0.0016536653913391958
5,1,HZ1I,2021,0.022325693161751703,0.5241153832753398,C,0.011701239228359127
5,1,HZ1I,2021,0.022325693161751703,0.37752315459164865,B,0.008428466110869701
5,1,HZ1I,2021,0.022325693161751703,0.09836146213301156,A,0.0021959878225228753
5,0,bq47,2021,0.01902667559040061,0.37981820503955055,C,0.007226677770615791
5,0,bq47,2021,0.01902667559040061,0.4030791446671975,B,0.007669256122838923
5,0,bq47,2021,0.01902667559040061,0.21710265029325193,A,0.004130741696945896
3,3,31yf,2021,0.029406016074566766,0.4950342128192451,C,0.014556984019623227
3,3,31yf,2021,0.029406016074566766,0.43983085590606896,B,0.012933673218864322
3,3,31yf,2021,0.029406016074566766,0.06513493127468595,A,0.0019153588360792165
5,4,miYX,2021,0.02461952148592016,0.5602649186567897,C,0.013793454202678145
5,4,miYX,2021,0.02461952148592016,0.4045709719975793,B,0.009960343737674007
5,4,miYX,2021,0.02461952148592016,0.03516410934563097,A,8.657235455680075e-4
1,4,OyoP,2021,0.01814163522629873,0.550142616898713,C,0.009980486678217859
1,4,OyoP,2021,0.01814163522629873,0.407742130828189,B,0.007397109003878779
1,4,OyoP,2021,0.01814163522629873,0.04211525227309798,A,7.640395442020919e-4
3,0,UK6e,2021,0.022010090813940994,0.42530059979490364,C,0.009360904824709403
3,0,UK6e,2021,0.022010090813940994,0.397826908486663,B,0.008756206384020845
3,0,UK6e,2021,0.022010090813940994,0.17687249171843333,A,0.003892979605210744
1,1,VM74,2021,0.015984878163109725,0.5139477764197798,C,0.008215392588271338
1,1,VM74,2021,0.015984878163109725,0.4036076416751292,B,0.006451618977876987
1,1,VM74,2021,0.015984878163109725,0.08244458190509096,A,0.0013178665969613996
4,2,EwkK,2021,0.013916117464993947,0.5717163982933657,C,0.007956072555313743
4,2,EwkK,2021,0.013916117464993947,0.3765937081164077,B,0.005240722278725574
4,2,EwkK,2021,0.013916117464993947,0.05168989359022658,A,7.193226309546307e-4
3,4,58bi,2021,0.020055556166641425,0.6660092930422523,C,0.01335718678411404
3,4,58bi,2021,0.020055556166641425,0.31545107941438255,B,0.006326546841022814
3,4,58bi,2021,0.020055556166641425,0.018539627543365134,A,3.718225415045718e-4
1,2,uhUk,2021,0.018748302473967037,0.5574858683526696,C,0.010451913684838016
1,2,uhUk,2021,0.018748302473967037,0.3856506047616518,B,0.007230294187339761
1,2,uhUk,2021,0.018748302473967037,0.05686352688567864,A,0.00106609460178926
4,1,L5gO,2021,0.02217931459292797,0.5113754374515751,C,0.011341956702334644
4,1,L5gO,2021,0.02217931459292797,0.4012620001467311,B,0.008899716135441858
4,1,L5gO,2021,0.02217931459292797,0.08736256240169382,A,0.0019376417551514682
4,4,AeM0,2021,0.02983838282987849,0.5596521893513455,C,0.016699116277445095
4,4,AeM0,2021,0.02983838282987849,0.39582617577814627,B,0.011810812966955105
4,4,AeM0,2021,0.02983838282987849,0.0445216348705082,A,0.0013284535854782911
2,4,gbTT,2021,0.021604799863267188,0.5221398837731563,C,0.011280727689548634
2,4,gbTT,2021,0.021604799863267188,0.4306131678163072,B,0.009303311309158804
2,4,gbTT,2021,0.021604799863267188,0.04724694841053645,A,0.0010207608645597496
6,5,gzuH,2021,0.012568250065362685,0.5012961652413255,C,0.006300415561560352
6,5,gzuH,2021,0.012568250065362685,0.44700030579394323,B,0.005618011622511868
6,5,gzuH,2021,0.012568250065362685,0.05170352896473129,A,6.498228812904656e-4
